Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,22.950001,22.985001,22.459999,22.605000,15.763403,1029087
2015-01-05,22.475000,22.844999,21.920000,21.959999,15.313613,1452038
2015-01-06,22.000000,22.059999,21.549999,21.745001,15.163689,1580693
2015-01-07,21.750000,21.780001,21.195000,21.370001,14.902184,2716931
2015-01-08,21.615000,21.684999,21.235001,21.655001,15.100925,2534564
2015-01-09,21.605000,22.139999,21.465000,21.590000,15.055595,1745838
2015-01-12,21.670000,21.670000,21.219999,21.490000,14.985865,1224064
2015-01-13,21.459999,22.719999,21.459999,22.565001,15.735507,2568640
2015-01-14,22.219999,22.260000,21.075001,21.254999,14.821989,4486205
2015-01-15,21.799999,21.799999,20.900000,21.545000,15.024220,2673497
2015-01-16,21.559999,21.820000,21.410000,21.745001,15.163689,2171815
2015-01-19,21.840000,21.905001,21.605000,21.690001,15.125337,1573632
2015-01-20,21.980000,22.469999,21.834999,22.320000,15.564657,2245227
2015-01-21,22.410000,22.480000,22.090000,22.480000,15.676233,1945320
2015-01-22,22.545000,23.250000,22.485001,23.129999,16.129505,2550372
2015-01-23,23.459999,23.950001,23.385000,23.715000,16.537453,3043603
2015-01-26,23.565001,23.930000,23.504999,23.875000,16.649023,1472113
2015-01-27,23.900000,24.280001,23.879999,24.000000,16.736193,2065033
2015-01-28,24.200001,24.200001,23.754999,23.934999,16.690863,1176364
2015-01-29,23.860001,24.424999,23.805000,24.360001,16.987234,1698198
2015-01-30,24.420000,24.430000,24.020000,24.094999,16.802439,1612535
2015-02-02,24.129999,24.320000,23.860001,23.955000,16.704807,1593694
2015-02-03,24.065001,24.125000,23.535000,24.059999,16.778032,2001295
2015-02-04,24.055000,24.590000,24.000000,24.375000,16.997696,1597687
2015-02-05,24.250000,24.475000,24.094999,24.225000,16.893089,1143585
2015-02-06,24.245001,24.395000,24.070000,24.225000,16.893089,886666
2015-02-09,24.100000,24.165001,23.650000,23.805000,16.600208,1452824
2015-02-10,23.900000,24.299999,23.709999,24.165001,16.851252,1529034
2015-02-11,24.395000,24.834999,24.264999,24.340000,16.973289,1553904
2015-02-12,24.020000,24.090000,23.160000,23.405001,16.321274,4074513
2015-02-13,23.510000,23.815001,23.280001,23.635000,16.481661,2082152
2015-02-16,23.730000,23.730000,23.344999,23.535000,16.411924,1192979
2015-02-17,23.540001,23.660000,23.250000,23.625000,16.474688,1406242
2015-02-18,23.760000,23.969999,23.590000,23.705000,16.530476,1710901
2015-02-19,23.645000,23.725000,23.370001,23.629999,16.478172,1396332
2015-02-20,23.635000,23.830000,23.500000,23.719999,16.540936,1219911
2015-02-23,23.850000,23.900000,23.540001,23.764999,16.572313,1060472
2015-02-24,23.799999,24.370001,23.725000,24.270000,16.924475,1992226
2015-02-25,24.320000,24.674999,24.299999,24.530001,17.105782,1577683
2015-02-26,24.555000,24.665001,24.195000,24.325001,16.962830,1422923
2015-02-27,24.350000,24.719999,24.174999,24.700001,17.224333,1885897
2015-03-02,24.840000,24.885000,24.469999,24.530001,17.105782,1252993
2015-03-03,24.594999,24.650000,24.264999,24.340000,16.973289,1453558
2015-03-04,24.100000,24.100000,23.330000,23.660000,16.499094,3967443
2015-03-05,23.605000,23.660000,22.750000,23.084999,16.098122,4832594
2015-03-06,23.080000,23.184999,22.834999,22.910000,15.976090,2421485
2015-03-09,22.705000,22.705000,21.900000,22.264999,15.526304,5241847
2015-03-10,23.100000,23.174999,22.525000,22.684999,15.819192,4144049
2015-03-11,22.625000,22.799999,22.504999,22.754999,15.867999,1910302
2015-03-12,22.764999,22.855000,22.620001,22.695000,15.826162,1786261
2015-03-13,22.730000,22.740000,22.184999,22.360001,15.592552,2261008
2015-03-16,22.405001,22.629999,22.299999,22.510000,15.697155,1713477
2015-03-17,22.540001,22.795000,22.340000,22.565001,15.735507,1821665
2015-03-18,22.639999,22.740000,22.440001,22.705000,15.833132,1513272
2015-03-19,22.750000,22.955000,22.625000,22.785000,15.888917,1653112
2015-03-20,22.790001,23.030001,22.750000,22.889999,15.962143,3146413
2015-03-23,22.950001,23.070000,22.855000,22.889999,15.962143,946066
2015-03-24,22.870001,22.945000,22.715000,22.850000,15.934247,1172218
2015-03-25,22.799999,23.049999,22.650000,22.875000,15.951684,1396968
2015-03-26,22.809999,22.910000,22.360001,22.580000,15.745966,1879265
2015-03-27,22.480000,22.690001,22.360001,22.540001,15.718073,2242341
2015-03-30,22.600000,22.840000,22.580000,22.670000,15.808725,962440
2015-03-31,22.705000,22.780001,22.334999,22.340000,15.578605,1565806
2015-04-01,22.299999,22.665001,22.240000,22.455000,15.658798,1328888
2015-04-02,22.600000,23.000000,22.500000,22.625000,15.777345,1192848
2015-04-07,22.709999,23.094999,22.684999,22.995001,16.035364,1901929
2015-04-08,23.004999,23.165001,22.879999,22.965000,16.014442,1297779
2015-04-09,22.990000,23.215000,22.809999,23.139999,16.136478,1335834
2015-04-10,23.084999,23.145000,22.844999,23.045000,16.070230,1754804
2015-04-13,23.090000,23.219999,23.040001,23.080000,16.094635,965195
2015-04-14,23.070000,23.165001,22.969999,23.145000,16.139967,1118944
2015-04-15,23.115000,23.555000,23.100000,23.445000,16.349165,2104794
2015-04-16,23.480000,23.490000,23.129999,23.280001,16.234104,1419454
2015-04-17,23.230000,23.325001,22.879999,22.920000,15.983061,1795133
2015-04-20,22.945000,23.000000,22.645000,22.895000,15.965630,1903495
2015-04-21,22.995001,23.165001,22.754999,22.879999,15.955167,1121663
2015-04-22,22.905001,22.980000,22.580000,22.705000,15.833132,1248470
2015-04-23,22.665001,22.785000,22.475000,22.665001,15.805241,1482871
2015-04-24,22.709999,22.860001,22.615000,22.754999,15.867999,1793038
2015-04-27,22.745001,23.075001,22.514999,22.940001,15.997012,1446494
2015-04-28,22.969999,23.180000,22.950001,23.094999,16.105095,1475683
2015-04-29,23.110001,23.350000,22.809999,22.825001,15.916813,1620981
2015-04-30,22.850000,23.010000,22.615000,22.730000,15.850563,1416569
2015-05-04,22.760000,22.780001,22.230000,22.480000,15.676233,1676891
2015-05-05,22.520000,22.780001,22.030001,22.065001,15.386834,1859597
2015-05-06,22.100000,22.209999,21.875000,22.065001,15.386834,1673218
2015-05-07,22.025000,22.080000,21.450001,21.870001,15.250855,2602110
2015-05-08,21.920000,22.280001,21.840000,22.264999,15.526304,1991168
2015-05-11,22.285000,22.600000,22.195000,22.504999,15.693662,1505229
2015-05-12,22.480000,22.485001,22.059999,22.344999,15.582089,1151547
2015-05-13,22.299999,22.639999,22.230000,22.485001,15.679720,1537829
2015-05-14,22.450001,22.790001,22.379999,22.725000,15.847082,956092
2015-05-15,22.770000,22.980000,22.670000,22.830000,15.920300,1251978
2015-05-18,22.879999,23.010000,22.430000,22.520000,15.704124,1858322
2015-05-19,22.370001,22.844999,22.320000,22.680000,15.815700,1723217
2015-05-20,22.660000,23.105000,22.645000,23.055000,16.077204,1974557
2015-05-21,23.049999,23.150000,22.870001,23.094999,16.105095,1262927
2015-05-22,23.100000,23.305000,23.049999,23.209999,16.185293,1585604
2015-05-25,23.145000,23.200001,22.910000,23.040001,16.066742,274275
2015-05-26,23.115000,23.145000,22.525000,22.635000,15.784321,1567429
2015-05-27,22.795000,22.820000,22.514999,22.740000,15.857541,1984991
2015-05-28,22.725000,22.809999,22.389999,22.584999,15.749449,1663200
2015-05-29,22.629999,22.695000,22.370001,22.379999,15.606498,1723234
2015-06-01,22.450001,22.695000,22.344999,22.440001,15.648339,1659222
2015-06-02,22.559999,22.559999,22.235001,22.455000,15.658798,1185075
2015-06-03,22.125000,22.125000,21.530001,21.764999,15.616125,2232826
2015-06-04,21.745001,21.900000,21.105000,21.165001,15.185631,2574764
2015-06-05,21.110001,21.290001,21.000000,21.070000,15.117469,2156468
2015-06-08,21.040001,21.090000,20.629999,20.719999,14.866348,1892332
2015-06-09,20.680000,20.719999,20.500000,20.680000,14.837648,1652778
2015-06-10,20.639999,20.799999,20.549999,20.754999,14.891459,1706886
2015-06-11,20.750000,20.969999,20.695000,20.825001,14.941687,1476172
2015-06-12,20.844999,20.934999,20.379999,20.584999,14.769485,1786869
2015-06-15,20.410000,20.445000,20.075001,20.250000,14.529129,1577647
2015-06-16,20.160000,20.420000,20.000000,20.360001,14.608053,1352652
2015-06-17,20.400000,20.629999,20.275000,20.475000,14.690565,1520640
2015-06-18,20.469999,20.674999,20.280001,20.655001,14.819714,1353222
2015-06-19,20.610001,20.750000,20.415001,20.504999,14.712088,1802743
2015-06-22,20.799999,21.200001,20.764999,21.105000,15.142587,1996948
2015-06-23,21.270000,21.320000,21.080000,21.190001,15.203569,1185070
2015-06-24,21.180000,21.299999,21.049999,21.129999,15.160518,1478082
2015-06-25,21.040001,21.315001,20.940001,21.055000,15.106709,1176799
2015-06-26,21.000000,21.000000,20.730000,20.934999,15.020607,1286060
2015-06-29,20.240000,20.559999,20.100000,20.330000,14.586529,2054731
2015-06-30,20.230000,20.405001,20.000000,20.000000,14.349756,1937888
2015-07-01,20.160000,20.260000,19.825001,19.889999,14.270833,2375453
2015-07-02,19.905001,20.430000,19.885000,20.260000,14.536306,1735927
2015-07-03,20.299999,20.330000,19.875000,20.035000,14.374871,1012727
2015-07-06,19.750000,20.014999,19.580000,19.665001,14.109398,1653021
2015-07-07,19.695000,19.879999,19.514999,19.530001,14.012538,2031049
2015-07-08,19.570000,19.969999,19.559999,19.820000,14.220609,1577931
2015-07-09,19.940001,20.420000,19.879999,20.219999,14.507606,1900557
2015-07-10,20.490000,20.790001,20.389999,20.674999,14.834061,1849381
2015-07-13,20.795000,21.025000,20.725000,20.924999,15.013433,1300212
2015-07-14,20.879999,21.010000,20.844999,20.875000,14.977562,1306113
2015-07-15,20.950001,21.575001,20.950001,21.430000,15.375768,3415386
2015-07-16,21.695000,21.825001,21.334999,21.709999,15.576664,2798621
2015-07-17,21.745001,21.830000,21.379999,21.405001,15.357826,1818168
2015-07-20,21.520000,21.815001,21.465000,21.545000,15.458282,1025300
2015-07-21,21.580000,21.655001,21.360001,21.440001,15.382940,1000936
2015-07-22,21.320000,21.424999,20.840000,21.110001,15.146169,2383231
2015-07-23,21.155001,21.240000,21.045000,21.139999,15.167694,892547
2015-07-24,21.129999,21.285000,21.035000,21.055000,15.106709,888564
2015-07-27,21.000000,21.080000,20.805000,20.865000,14.970386,1597176
2015-07-28,20.959999,21.120001,20.834999,21.010000,15.074420,1334529
2015-07-29,21.059999,21.145000,20.900000,21.135000,15.164109,1350466
2015-07-30,21.400000,22.020000,21.334999,21.844999,15.673520,3106976
2015-07-31,21.844999,21.865000,21.594999,21.690001,15.562315,2754554
2015-08-03,21.709999,21.790001,21.575001,21.645000,15.530026,1394081
